RT60,DRR,C50,Unnamed: 3,filename,estimated_rt60,estimated_c50,rt60_error,c50_error
0.71628955,4.19260025,11.8472333,,rendered_fdn_015_sample_015.wav,4.505851249381736,-43.37603904931905,3.7895616993817365,-55.223272349319046
0.969888255,-2.291545868,7.598321676,,rendered_fdn_016_sample_016.wav,18.314440997104164,-52.2662793800924,17.344552742104163,-59.8646010560924
0.58413434,0.894260406,13.11990643,,rendered_fdn_017_sample_017.wav,9.568684071378277,-50.764335067069894,8.984549731378277,-63.884241497069894
0.642594159,0.611591339,12.09224415,,rendered_fdn_018_sample_018.wav,16.063409986232017,-39.86305451123926,15.420815827232017,-51.95529866123926
0.482607991,0.498495102,14.3565464,,rendered_fdn_019_sample_019.wav,14.832925689858884,-50.60995960142837,14.350317698858884,-64.96650600142837
0.764534667,-0.107746124,7.584491491,,rendered_fdn_020_sample_020.wav,26.982666409385327,-40.336286418502205,26.218131742385328,-47.920777909502206
0.592717856,-0.779533386,10.31455326,,rendered_fdn_021_sample_021.wav,6.302986903191508,-51.313626907568725,5.710269047191508,-61.62818016756873
0.850538358,2.535171509,11.66124392,,rendered_fdn_022_sample_022.wav,20.45424271002983,-37.82201105767377,19.60370435202983,-49.48325497767377
0.562559992,1.356334686,13.59101105,,rendered_fdn_023_sample_023.wav,20.92359340387665,-43.025519717523196,20.36103341187665,-56.616530767523194
0.826685384,0.269527435,9.741038322,,rendered_fdn_024_sample_024.wav,13.800345767239422,-40.945331789799184,12.973660383239423,-50.686370111799185
0.572101146,1.18686676,11.64552689,,rendered_fdn_025_sample_025.wav,17.539251098562783,-50.75525429994019,16.96714995256278,-62.40078118994019
0.883060813,0.717372894,11.28927088,,rendered_fdn_026_sample_026.wav,7.67565746748756,-45.68725648615545,6.79259665448756,-56.97652736615545
0.552603453,-5.15291214,5.651899099,,rendered_fdn_027_sample_027.wav,13.969728868605813,-50.29576335215742,13.417125415605813,-55.94766245115742
0.879215017,1.218166351,10.43437862,,rendered_fdn_028_sample_028.wav,10.862625963760308,-49.96362098960955,9.983410946760308,-60.397999609609556
0.785860419,-0.864467621,6.110762119,,rendered_fdn_029_sample_029.wav,41.921292881677445,-41.559473831675895,41.13543246267744,-47.670235950675895
0.751303956,-5.640821457,5.41747117,,rendered_fdn_030_sample_030.wav,20.64872716888755,-43.426559437064476,19.89742321288755,-48.844030607064475
0.815211296,-0.321426392,8.449935913,,rendered_fdn_031_sample_031.wav,12.113357261737377,-47.97562566827005,11.298145965737378,-56.425561581270046
0.844174191,-2.218742371,8.486326694,,rendered_fdn_032_sample_032.wav,6.109203868767703,-53.91413062739357,5.2650296777677035,-62.40045732139357
0.749739379,-3.333625793,7.668959618,,rendered_fdn_033_sample_033.wav,32.93198878490941,-41.34631793116895,32.18224940590941,-49.01527754916895
0.703863859,1.544275284,11.32116842,,rendered_fdn_034_sample_034.wav,35.723700626329,-52.2067749742325,35.019836767329,-63.5279433942325
1.050488904,-1.937065125,7.518104315,,rendered_fdn_035_sample_035.wav,14.671927961097301,-51.275259553251985,13.621439057097302,-58.79336386825199
0.697022706,-0.067396164,10.76860905,,rendered_fdn_036_sample_036.wav,14.813621297902618,-52.163444752632266,14.116598591902617,-62.93205380263227
0.519648761,-0.74388504,11.41215611,,rendered_fdn_037_sample_037.wav,28.94282552414395,-53.956423020362216,28.42317676314395,-65.36857913036222
0.88657482,-9.367551804,4.543088913,,rendered_fdn_038_sample_038.wav,13.455452213241434,-40.025108816649194,12.568877393241435,-44.56819772964919
0.733506829,-1.209077835,10.02725935,,rendered_fdn_039_sample_039.wav,16.418161897440246,-47.315179761032496,15.684655068440247,-57.3424391110325
0.603067338,-0.887928009,11.0090394,,rendered_fdn_040_sample_040.wav,13.258429584205182,-45.088366595756625,12.655362246205181,-56.097405995756624
0.717476696,-8.654403687,5.210300207,,rendered_fdn_041_sample_041.wav,8.879069843444316,-50.409611786724426,8.161593147444316,-55.61991199372443
0.683463871,-1.790761948,9.020192146,,rendered_fdn_042_sample_042.wav,12.450596539856765,-52.91014803761324,11.767132668856764,-61.93034018361324
0.717262119,-1.374435425,8.121573448,,rendered_fdn_043_sample_043.wav,13.04831448882302,-53.29244533624427,12.33105236982302,-61.41401878424427
0.593624353,2.937860489,12.69844913,,rendered_fdn_044_sample_044.wav,17.62632887333812,-51.96671293882606,17.03270452033812,-64.66516206882606
0.877531216,-5.030536652,7.517632246,,rendered_fdn_045_sample_045.wav,22.18253958981358,-51.12771771673255,21.30500837381358,-58.645349962732546
0.680800706,2.570285797,10.48077583,,rendered_fdn_046_sample_046.wav,16.32466227828329,-39.902510954751214,15.643861572283292,-50.38328678475121
0.705342114,2.023448944,11.03450823,,rendered_fdn_047_sample_047.wav,19.3075904718041,-57.585115463151936,18.6022483578041,-68.61962369315194
1.004368678,-4.560985565,6.605718374,,rendered_fdn_048_sample_048.wav,11.303254765491854,-50.40119990357923,10.298886087491853,-57.00691827757923
0.649051934,0.969486237,14.02967739,,rendered_fdn_049_sample_049.wav,15.697672359045084,-50.18173973437128,15.048620425045083,-64.21141712437128
